,age,fnlwgt,education.num,marital.status,occupation,relationship,hours.per.week
56,53,313243,10,Separated,Craft-repair,Not-in-family,45
57,40,147372,10,Never-married,Protective-serv,Not-in-family,40
58,38,237608,13,Never-married,Sales,Not-in-family,45
59,33,194901,11,Separated,Craft-repair,Not-in-family,42
60,43,155106,12,Divorced,Craft-repair,Not-in-family,70
61,50,121441,7,Never-married,Exec-managerial,Other-relative,40
62,44,162028,10,Married-civ-spouse,Adm-clerical,Wife,6
63,51,160724,13,Married-civ-spouse,Sales,Husband,40
64,41,132222,15,Married-civ-spouse,Prof-specialty,Husband,40
65,60,226355,11,Married-civ-spouse,Machine-op-inspct,Husband,70
66,37,329980,14,Married-civ-spouse,Exec-managerial,Husband,60
67,55,124137,15,Married-civ-spouse,Prof-specialty,Husband,35
68,39,329980,13,Married-civ-spouse,Sales,Husband,60
69,42,187702,15,Married-civ-spouse,Prof-specialty,Husband,60
70,49,199029,13,Married-civ-spouse,Sales,Husband,55
71,47,145290,9,Married-civ-spouse,Exec-managerial,Husband,50
72,41,297248,15,Married-civ-spouse,Prof-specialty,Husband,45
73,55,227856,13,Married-civ-spouse,Exec-managerial,Husband,50
74,39,179731,14,Married-civ-spouse,Exec-managerial,Wife,65
75,42,154374,13,Married-civ-spouse,Exec-managerial,Husband,60
76,41,27187,11,Married-civ-spouse,Prof-specialty,Husband,12
77,46,326857,14,Married-civ-spouse,Sales,Husband,65
78,40,160369,14,Married-civ-spouse,Exec-managerial,Husband,45
79,32,396745,13,Married-civ-spouse,Prof-specialty,Husband,48
80,41,151089,10,Married-civ-spouse,Exec-managerial,Husband,55
81,60,336188,15,Married-civ-spouse,Prof-specialty,Husband,80
82,31,279015,14,Married-civ-spouse,Exec-managerial,Husband,70
83,58,43221,10,Married-civ-spouse,Farming-fishing,Husband,40
84,37,30529,13,Married-civ-spouse,Sales,Husband,50
85,44,201742,13,Married-civ-spouse,Exec-managerial,Husband,50
86,39,218490,15,Married-civ-spouse,Prof-specialty,Husband,50
87,43,156996,15,Married-civ-spouse,Prof-specialty,Husband,55
88,55,298449,13,Married-civ-spouse,Exec-managerial,Husband,50
89,44,191712,14,Married-civ-spouse,Prof-specialty,Husband,55
90,39,198654,15,Married-civ-spouse,Prof-specialty,Husband,67
91,46,102308,13,Married-civ-spouse,Sales,Husband,40
92,39,348521,10,Married-civ-spouse,Farming-fishing,Husband,99
93,62,56248,13,Married-civ-spouse,Farming-fishing,Husband,60
94,31,252752,9,Married-civ-spouse,Other-service,Wife,40
95,46,192963,13,Married-civ-spouse,Adm-clerical,Husband,35
96,46,198759,15,Married-civ-spouse,Prof-specialty,Husband,80
97,39,143123,11,Married-civ-spouse,Craft-repair,Husband,40
98,39,237713,15,Married-civ-spouse,Sales,Husband,99
99,59,81929,16,Married-civ-spouse,Prof-specialty,Husband,45
100,50,167793,15,Married-civ-spouse,Prof-specialty,Husband,60
101,46,456062,16,Married-civ-spouse,Prof-specialty,Husband,55
102,53,105478,13,Married-civ-spouse,Exec-managerial,Husband,40
103,50,42402,15,Married-civ-spouse,Prof-specialty,Husband,30
104,41,114580,15,Married-civ-spouse,Exec-managerial,Wife,55
105,36,346478,13,Married-civ-spouse,Sales,Husband,45
106,38,187870,15,Married-civ-spouse,Prof-specialty,Husband,90
107,54,35576,10,Married-civ-spouse,Sales,Husband,50
108,50,102346,13,Married-civ-spouse,Exec-managerial,Wife,20
109,47,148995,13,Married-civ-spouse,Exec-managerial,Husband,60
110,47,102308,15,Married-civ-spouse,Prof-specialty,Husband,45
111,67,105252,13,Widowed,Exec-managerial,Not-in-family,40
112,67,106175,13,Married-civ-spouse,Exec-managerial,Husband,75
113,72,52138,16,Married-civ-spouse,Prof-specialty,Husband,25
114,72,118902,16,Married-civ-spouse,Prof-specialty,Husband,6
115,46,191978,14,Married-civ-spouse,Exec-managerial,Husband,50
116,78,188044,13,Married-civ-spouse,Exec-managerial,Husband,40
117,71,66624,13,Married-civ-spouse,Exec-managerial,Husband,60
118,83,153183,13,Married-civ-spouse,Exec-managerial,Husband,55
119,68,211287,14,Married-civ-spouse,Exec-managerial,Husband,40
120,26,181655,11,Married-civ-spouse,Adm-clerical,Husband,45
121,68,235882,16,Married-civ-spouse,Prof-specialty,Husband,60
122,49,158685,9,Married-civ-spouse,Adm-clerical,Wife,40
123,36,370767,9,Married-civ-spouse,Prof-specialty,Husband,60
124,70,155141,13,Married-civ-spouse,Craft-repair,Husband,12
125,27,156516,10,Married-civ-spouse,Adm-clerical,Wife,20
126,35,177305,10,Married-civ-spouse,Exec-managerial,Husband,40
127,23,162945,9,Married-civ-spouse,Sales,Husband,40
128,81,177408,9,Married-civ-spouse,Exec-managerial,Husband,26
129,66,427422,16,Married-civ-spouse,Sales,Husband,25
130,71,152307,9,Married-civ-spouse,Exec-managerial,Husband,45
131,68,218637,10,Married-civ-spouse,Sales,Husband,55
132,68,202699,14,Married-civ-spouse,Prof-specialty,Husband,42
133,65,240857,13,Married-civ-spouse,Prof-specialty,Husband,40
134,52,222405,9,Married-civ-spouse,Sales,Husband,40
135,40,110862,12,Married-civ-spouse,Craft-repair,Husband,50
136,68,257269,13,Married-civ-spouse,Prof-specialty,Husband,35
137,21,377931,10,Married-civ-spouse,Exec-managerial,Husband,48
138,35,192923,9,Married-civ-spouse,Craft-repair,Husband,40
139,70,207938,13,Married-civ-spouse,Exec-managerial,Husband,50
140,61,36671,9,Married-civ-spouse,Farming-fishing,Husband,50
141,65,81413,9,Married-civ-spouse,Farming-fishing,Husband,65
142,46,214955,3,Divorced,Craft-repair,Not-in-family,45
143,26,166295,13,Never-married,Prof-specialty,Not-in-family,55
144,59,147707,9,Widowed,Farming-fishing,Unmarried,40
145,61,43554,3,Never-married,Handlers-cleaners,Not-in-family,40
146,60,358893,13,Divorced,Prof-specialty,Not-in-family,40
147,49,141058,10,Divorced,Exec-managerial,Not-in-family,50
148,34,25322,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,40
149,25,77071,13,Never-married,Prof-specialty,Own-child,35
150,55,158702,10,Never-married,Adm-clerical,Not-in-family,45
151,59,171328,9,Separated,Protective-serv,Other-relative,40
152,28,381789,10,Separated,Exec-managerial,Own-child,40
153,43,152569,11,Widowed,Prof-specialty,Not-in-family,36
154,56,346635,14,Divorced,Sales,Unmarried,60
155,41,162140,9,Divorced,Craft-repair,Not-in-family,40
156,42,191765,9,Never-married,Adm-clerical,Other-relative,40
157,28,251905,15,Never-married,Prof-specialty,Not-in-family,40
158,40,33310,15,Divorced,Other-service,Not-in-family,35
159,69,228921,13,Widowed,Prof-specialty,Not-in-family,40
160,66,36364,9,Married-civ-spouse,Craft-repair,Husband,40
161,69,124930,3,Married-civ-spouse,Machine-op-inspct,Husband,40
162,55,176046,14,Married-civ-spouse,Prof-specialty,Wife,40
163,57,370890,9,Never-married,Adm-clerical,Not-in-family,40
164,20,157145,10,Never-married,Farming-fishing,Own-child,10
165,33,288825,9,Divorced,Craft-repair,Not-in-family,84
166,30,257295,10,Never-married,Sales,Other-relative,40
167,40,287983,13,Never-married,Tech-support,Not-in-family,48
168,38,101978,10,Separated,Machine-op-inspct,Not-in-family,55
169,46,192779,12,Divorced,Adm-clerical,Unmarried,38
170,29,135296,13,Never-married,Exec-managerial,Not-in-family,45
171,57,199114,13,Never-married,Adm-clerical,Not-in-family,40
172,39,156897,9,Never-married,Craft-repair,Own-child,42
173,47,138107,13,Divorced,Exec-managerial,Not-in-family,40
174,26,279833,13,Never-married,Exec-managerial,Not-in-family,45
175,27,208577,9,Never-married,Craft-repair,Not-in-family,50
176,23,102942,13,Never-married,Prof-specialty,Own-child,40
177,34,36385,14,Never-married,Prof-specialty,Not-in-family,50
178,33,176185,8,Divorced,Craft-repair,Not-in-family,42
179,38,162613,14,Never-married,Prof-specialty,Not-in-family,60
180,57,121362,10,Widowed,Adm-clerical,Unmarried,38
181,36,145933,9,Never-married,Exec-managerial,Not-in-family,70
182,44,29591,13,Divorced,Tech-support,Not-in-family,40
183,49,269417,16,Never-married,Exec-managerial,Not-in-family,50
184,44,178510,10,Never-married,Sales,Not-in-family,60
185,55,41108,10,Widowed,Farming-fishing,Not-in-family,62
186,45,187901,9,Divorced,Farming-fishing,Not-in-family,44
187,48,175070,9,Divorced,Exec-managerial,Not-in-family,40
188,31,263561,13,Married-civ-spouse,Exec-managerial,Husband,45
189,55,99131,9,Married-civ-spouse,Prof-specialty,Other-relative,40
190,70,143833,10,Married-civ-spouse,Exec-managerial,Husband,40
191,70,124449,14,Married-civ-spouse,Exec-managerial,Husband,8
192,73,336007,13,Married-civ-spouse,Prof-specialty,Husband,40
193,72,285408,15,Married-civ-spouse,Prof-specialty,Husband,28
194,31,327825,9,Separated,Machine-op-inspct,Unmarried,40
195,28,129460,6,Widowed,Adm-clerical,Unmarried,35
196,23,258298,13,Never-married,Adm-clerical,Own-child,40
197,49,102359,5,Widowed,Handlers-cleaners,Unmarried,40
198,27,92431,10,Never-married,Protective-serv,Not-in-family,40
199,90,51744,9,Never-married,Other-service,Not-in-family,40
200,68,166149,9,Widowed,Adm-clerical,Not-in-family,30
201,65,149811,9,Divorced,Adm-clerical,Unmarried,59
202,65,143118,9,Widowed,Prof-specialty,Unmarried,10
203,67,118363,13,Divorced,Exec-managerial,Not-in-family,5
204,66,362165,13,Widowed,Prof-specialty,Not-in-family,25
205,24,379066,10,Never-married,Adm-clerical,Not-in-family,24
206,44,171424,10,Divorced,Machine-op-inspct,Not-in-family,35
207,35,108293,10,Never-married,Adm-clerical,Own-child,40
208,20,107801,12,Never-married,Other-service,Own-child,18
209,38,126675,9,Divorced,Craft-repair,Not-in-family,40
210,39,155603,10,Never-married,Other-service,Own-child,40
211,32,27882,10,Never-married,Machine-op-inspct,Other-relative,40
212,42,242564,4,Never-married,Handlers-cleaners,Not-in-family,40
213,63,234083,9,Divorced,Prof-specialty,Not-in-family,40
214,42,23510,14,Divorced,Exec-managerial,Unmarried,60
215,64,181232,7,Married-civ-spouse,Craft-repair,Husband,40
216,28,166481,4,Married-civ-spouse,Handlers-cleaners,Husband,40
217,41,139916,11,Married-civ-spouse,Sales,Husband,84
218,41,144594,4,Married-civ-spouse,Craft-repair,Husband,40
219,58,266707,2,Married-civ-spouse,Transport-moving,Husband,18
220,59,303176,10,Married-civ-spouse,Exec-managerial,Husband,40
221,34,56460,9,Married-civ-spouse,Farming-fishing,Wife,12
222,45,167523,9,Married-civ-spouse,Transport-moving,Husband,45
223,29,119004,9,Married-civ-spouse,Adm-clerical,Wife,40
224,47,175925,6,Married-civ-spouse,Sales,Husband,52
225,40,212847,10,Married-civ-spouse,Machine-op-inspct,Husband,40
226,47,191175,3,Married-civ-spouse,Sales,Husband,50
227,63,83043,13,Married-civ-spouse,Prof-specialty,Husband,45
228,41,170214,9,Married-civ-spouse,Handlers-cleaners,Husband,40
229,34,180714,10,Married-civ-spouse,Transport-moving,Husband,40
230,66,177351,13,Married-civ-spouse,Prof-specialty,Husband,40
231,65,111483,10,Married-civ-spouse,Exec-managerial,Husband,10
232,70,282642,9,Married-civ-spouse,Handlers-cleaners,Husband,40
233,75,309955,15,Married-civ-spouse,Prof-specialty,Husband,50
234,65,215908,9,Married-civ-spouse,Adm-clerical,Husband,40
235,65,23494,10,Married-civ-spouse,Exec-managerial,Husband,40
236,73,147551,10,Married-civ-spouse,Prof-specialty,Husband,50
237,60,141221,13,Married-civ-spouse,Prof-specialty,Husband,25
238,68,116903,11,Married-civ-spouse,Prof-specialty,Husband,40
239,74,119129,9,Married-civ-spouse,Sales,Husband,20
240,43,143582,3,Married-civ-spouse,Machine-op-inspct,Wife,72
241,19,342384,7,Married-civ-spouse,Craft-repair,Own-child,55
242,37,68899,9,Married-civ-spouse,Craft-repair,Husband,40
243,45,207107,12,Divorced,Adm-clerical,Unmarried,40
244,64,149044,14,Married-civ-spouse,Prof-specialty,Husband,60
245,30,148524,9,Married-civ-spouse,Transport-moving,Husband,40
246,51,268639,10,Married-civ-spouse,Prof-specialty,Wife,60
247,35,272019,7,Married-civ-spouse,Craft-repair,Husband,40
248,29,239753,9,Married-civ-spouse,Adm-clerical,Wife,20
249,34,199864,10,Married-civ-spouse,Adm-clerical,Wife,40
250,41,125831,9,Married-civ-spouse,Craft-repair,Husband,60
251,35,67728,10,Married-civ-spouse,Craft-repair,Husband,45
252,26,115717,10,Married-civ-spouse,Adm-clerical,Husband,40
253,54,172281,9,Married-civ-spouse,Transport-moving,Husband,50
254,52,305053,9,Married-civ-spouse,Craft-repair,Husband,40
255,50,105010,9,Married-civ-spouse,Farming-fishing,Husband,20
256,31,291052,10,Married-civ-spouse,Adm-clerical,Husband,40
257,38,248919,9,Married-civ-spouse,Transport-moving,Husband,40
258,30,84119,10,Married-civ-spouse,Craft-repair,Husband,40
259,34,105540,13,Married-civ-spouse,Prof-specialty,Husband,40
260,31,161765,10,Married-civ-spouse,Sales,Husband,57
261,52,195635,9,Married-civ-spouse,Machine-op-inspct,Husband,38
262,54,816750,9,Married-civ-spouse,Craft-repair,Husband,40
263,38,160192,9,Married-civ-spouse,Craft-repair,Husband,44
264,39,136081,9,Married-civ-spouse,Machine-op-inspct,Husband,40
265,29,244473,11,Married-civ-spouse,Tech-support,Husband,40
266,45,187033,9,Married-civ-spouse,Craft-repair,Husband,40
267,34,265807,9,Married-civ-spouse,Transport-moving,Husband,55
268,38,154410,9,Married-civ-spouse,Craft-repair,Husband,40
269,39,314007,6,Married-civ-spouse,Craft-repair,Husband,40
270,61,179743,9,Married-civ-spouse,Craft-repair,Husband,20
271,43,117037,7,Married-civ-spouse,Transport-moving,Husband,40
272,35,40135,10,Married-civ-spouse,Handlers-cleaners,Husband,40
273,46,315423,10,Married-civ-spouse,Sales,Husband,50
274,38,35429,9,Married-civ-spouse,Handlers-cleaners,Husband,40
275,42,120837,9,Married-civ-spouse,Craft-repair,Husband,48
276,34,90614,12,Married-civ-spouse,Tech-support,Husband,10
277,29,202878,4,Married-civ-spouse,Farming-fishing,Husband,40
278,32,260954,7,Married-civ-spouse,Craft-repair,Husband,30
279,60,127084,9,Married-civ-spouse,Protective-serv,Husband,34
280,49,107231,9,Married-civ-spouse,Craft-repair,Husband,40
281,53,135102,9,Married-civ-spouse,Other-service,Husband,45
282,56,201822,4,Married-civ-spouse,Handlers-cleaners,Husband,40
283,48,413363,7,Married-civ-spouse,Transport-moving,Husband,40
284,32,148138,13,Married-civ-spouse,Prof-specialty,Husband,40
285,42,170721,9,Married-civ-spouse,Craft-repair,Husband,40
286,32,102858,12,Married-civ-spouse,Prof-specialty,Husband,42
287,28,175262,12,Married-civ-spouse,Protective-serv,Husband,40
288,26,36936,11,Married-civ-spouse,Craft-repair,Husband,40
289,59,169982,13,Married-civ-spouse,Exec-managerial,Husband,50
290,47,208407,13,Married-civ-spouse,Prof-specialty,Husband,30
291,26,131777,13,Married-civ-spouse,Prof-specialty,Husband,40
292,41,41090,9,Married-civ-spouse,Craft-repair,Husband,60
293,36,183739,9,Married-civ-spouse,Craft-repair,Own-child,40
294,45,357540,13,Married-civ-spouse,Sales,Husband,55
295,30,48520,12,Married-civ-spouse,Prof-specialty,Husband,40
296,36,107916,9,Married-civ-spouse,Transport-moving,Husband,40
297,34,198613,9,Married-civ-spouse,Exec-managerial,Husband,40
298,53,283743,9,Married-civ-spouse,Transport-moving,Husband,40
299,51,210940,9,Married-civ-spouse,Sales,Husband,45
300,47,355978,16,Married-civ-spouse,Transport-moving,Husband,45
301,19,241616,9,Never-married,Prof-specialty,Unmarried,40
302,30,57651,9,Never-married,Adm-clerical,Unmarried,42
303,20,315877,9,Never-married,Other-service,Unmarried,40
304,42,74680,14,Divorced,Adm-clerical,Not-in-family,60
305,31,454508,7,Never-married,Craft-repair,Not-in-family,40
306,33,202046,13,Never-married,Handlers-cleaners,Not-in-family,40
307,25,121102,12,Never-married,Tech-support,Not-in-family,30
308,20,146879,9,Never-married,Other-service,Not-in-family,40
309,23,213955,9,Never-married,Adm-clerical,Own-child,40
310,55,123382,9,Separated,Prof-specialty,Not-in-family,40
311,41,277783,10,Divorced,Craft-repair,Not-in-family,50
312,54,199741,9,Widowed,Craft-repair,Not-in-family,35
313,25,378322,9,Never-married,Craft-repair,Not-in-family,50
314,19,264390,10,Never-married,Adm-clerical,Own-child,40
315,24,210029,9,Never-married,Adm-clerical,Not-in-family,37
316,56,61885,13,Never-married,Transport-moving,Not-in-family,65
317,21,102942,10,Never-married,Other-service,Not-in-family,40
318,34,209297,9,Never-married,Machine-op-inspct,Not-in-family,40
319,19,198459,9,Never-married,Adm-clerical,Own-child,40
320,21,40052,10,Never-married,Prof-specialty,Not-in-family,45
321,48,93476,9,Separated,Adm-clerical,Not-in-family,40
322,34,174789,13,Never-married,Other-service,Not-in-family,40
323,31,189759,9,Never-married,Farming-fishing,Not-in-family,40
324,36,297847,9,Never-married,Other-service,Not-in-family,40
325,27,124953,9,Never-married,Other-service,Not-in-family,40
326,27,116358,10,Never-married,Craft-repair,Own-child,40
327,35,187119,13,Divorced,Sales,Not-in-family,65
328,31,161745,13,Married-spouse-absent,Exec-managerial,Not-in-family,60
329,27,469705,9,Never-married,Craft-repair,Not-in-family,40
330,28,304960,12,Never-married,Adm-clerical,Not-in-family,40
331,42,175935,9,Divorced,Transport-moving,Not-in-family,46
332,44,355728,10,Separated,Exec-managerial,Not-in-family,45
333,41,53956,13,Divorced,Sales,Not-in-family,56
334,28,184723,13,Never-married,Tech-support,Not-in-family,35
335,41,185616,9,Never-married,Adm-clerical,Not-in-family,40
336,35,54595,6,Widowed,Other-service,Not-in-family,40
337,58,126104,14,Divorced,Adm-clerical,Not-in-family,45
338,40,139193,9,Divorced,Machine-op-inspct,Not-in-family,48
339,31,184306,11,Never-married,Transport-moving,Own-child,60
340,30,207301,9,Never-married,Sales,Not-in-family,40
341,32,199529,10,Separated,Tech-support,Not-in-family,40
342,25,111058,10,Never-married,Adm-clerical,Not-in-family,40
343,34,198103,9,Never-married,Transport-moving,Own-child,40
344,56,34626,10,Divorced,Exec-managerial,Not-in-family,40
345,45,100651,9,Divorced,Other-service,Not-in-family,40
346,50,104501,9,Never-married,Adm-clerical,Not-in-family,40
347,27,132805,6,Never-married,Sales,Other-relative,40
348,51,96062,10,Married-civ-spouse,Sales,Husband,40
349,40,207578,12,Married-civ-spouse,Tech-support,Husband,60
350,41,445382,14,Married-civ-spouse,Exec-managerial,Husband,65
351,49,192776,14,Married-civ-spouse,Exec-managerial,Husband,45
352,37,22463,11,Married-civ-spouse,Craft-repair,Husband,40
353,36,108293,13,Married-civ-spouse,Exec-managerial,Wife,45
354,35,199352,15,Married-civ-spouse,Prof-specialty,Husband,80
355,29,260729,9,Married-civ-spouse,Sales,Wife,25
356,50,133963,13,Married-civ-spouse,Prof-specialty,Wife,40
357,46,129007,13,Married-civ-spouse,Sales,Husband,40
358,44,179557,9,Married-civ-spouse,Exec-managerial,Husband,45
359,42,111252,14,Married-civ-spouse,Exec-managerial,Husband,40
360,38,338320,15,Married-civ-spouse,Prof-specialty,Husband,50
361,45,192835,13,Married-civ-spouse,Exec-managerial,Husband,55
362,43,147328,14,Married-civ-spouse,Exec-managerial,Husband,60
363,47,139268,15,Married-civ-spouse,Prof-specialty,Husband,60
364,58,349910,15,Married-civ-spouse,Prof-specialty,Husband,50
365,48,331482,15,Married-civ-spouse,Tech-support,Husband,40
366,42,245307,13,Married-civ-spouse,Exec-managerial,Husband,48
367,55,153484,14,Married-civ-spouse,Exec-managerial,Husband,50
368,51,252903,6,Married-civ-spouse,Sales,Husband,40
369,32,295589,14,Married-civ-spouse,Exec-managerial,Husband,40
370,45,160472,13,Married-civ-spouse,Exec-managerial,Husband,50
371,56,192869,14,Married-civ-spouse,Craft-repair,Husband,44
372,38,234901,14,Married-civ-spouse,Exec-managerial,Husband,60
373,45,33300,11,Married-civ-spouse,Sales,Husband,50
374,49,101825,14,Married-civ-spouse,Prof-specialty,Wife,40
375,36,183612,9,Married-civ-spouse,Prof-specialty,Husband,40
376,49,185041,14,Married-civ-spouse,Exec-managerial,Husband,40
377,30,315640,16,Married-civ-spouse,Prof-specialty,Husband,40
378,42,123838,15,Married-civ-spouse,Prof-specialty,Husband,50
379,55,31905,14,Married-civ-spouse,Exec-managerial,Husband,40
380,34,181091,13,Married-civ-spouse,Exec-managerial,Husband,45
381,54,88278,16,Married-civ-spouse,Prof-specialty,Husband,50
382,42,323790,13,Married-civ-spouse,Exec-managerial,Husband,70
383,25,90730,13,Married-civ-spouse,Prof-specialty,Husband,40
384,55,138594,9,Married-civ-spouse,Exec-managerial,Husband,45
385,58,194068,14,Married-civ-spouse,Prof-specialty,Husband,50
386,62,218009,9,Married-civ-spouse,Transport-moving,Husband,60
387,43,221172,15,Married-civ-spouse,Prof-specialty,Husband,40
388,57,174132,14,Married-civ-spouse,Prof-specialty,Wife,40
389,42,277256,16,Married-civ-spouse,Prof-specialty,Husband,60
390,63,35021,13,Married-civ-spouse,Prof-specialty,Husband,32
391,47,213668,15,Married-civ-spouse,Prof-specialty,Husband,50
392,37,99146,13,Married-civ-spouse,Exec-managerial,Husband,50
393,40,209547,13,Married-civ-spouse,Sales,Husband,60
394,43,118308,13,Married-civ-spouse,Prof-specialty,Husband,50
395,43,33331,15,Married-civ-spouse,Prof-specialty,Husband,70
396,41,200574,15,Married-civ-spouse,Prof-specialty,Husband,60
397,32,204374,15,Married-civ-spouse,Prof-specialty,Husband,60
398,47,189680,13,Married-civ-spouse,Sales,Husband,40
399,39,175232,10,Married-civ-spouse,Handlers-cleaners,Husband,60
400,53,193720,10,Married-civ-spouse,Exec-managerial,Husband,40
401,34,189759,13,Married-civ-spouse,Exec-managerial,Husband,45
402,36,32776,13,Married-civ-spouse,Exec-managerial,Husband,40
403,47,285060,14,Married-civ-spouse,Exec-managerial,Husband,41
404,52,23780,11,Married-civ-spouse,Exec-managerial,Husband,45
405,40,284706,15,Married-civ-spouse,Prof-specialty,Husband,60
406,42,130126,13,Married-civ-spouse,Prof-specialty,Husband,40
407,51,102615,14,Married-civ-spouse,Protective-serv,Husband,40
408,55,208311,14,Married-civ-spouse,Tech-support,Husband,20
409,38,111499,9,Married-civ-spouse,Sales,Husband,99
410,52,139671,10,Married-civ-spouse,Exec-managerial,Husband,50
411,60,165630,9,Married-civ-spouse,Tech-support,Husband,40
412,55,124808,11,Married-civ-spouse,Prof-specialty,Husband,50
413,47,29819,14,Married-civ-spouse,Exec-managerial,Husband,50
414,46,102771,14,Married-civ-spouse,Tech-support,Husband,40
415,35,86648,14,Married-civ-spouse,Prof-specialty,Husband,45
416,59,223215,13,Married-civ-spouse,Exec-managerial,Husband,50
417,57,437727,14,Married-civ-spouse,Prof-specialty,Husband,45
418,46,167515,10,Married-civ-spouse,Prof-specialty,Husband,50
419,46,213140,14,Married-civ-spouse,Exec-managerial,Husband,40
420,52,168553,9,Married-civ-spouse,Craft-repair,Husband,40
421,45,363677,16,Married-civ-spouse,Prof-specialty,Wife,30
422,37,241998,13,Married-civ-spouse,Tech-support,Husband,40
423,46,337050,14,Married-civ-spouse,Exec-managerial,Husband,45
424,44,157249,13,Married-civ-spouse,Prof-specialty,Husband,50
425,45,84298,11,Married-civ-spouse,Exec-managerial,Husband,50
426,43,55213,9,Married-civ-spouse,Machine-op-inspct,Husband,52
427,54,185846,14,Married-civ-spouse,Prof-specialty,Husband,40
428,50,150999,14,Married-civ-spouse,Prof-specialty,Husband,40
429,51,199688,13,Married-civ-spouse,Exec-managerial,Husband,60
430,45,225456,13,Married-civ-spouse,Prof-specialty,Husband,40
431,36,192939,14,Married-civ-spouse,Prof-specialty,Husband,60
432,27,183627,13,Married-civ-spouse,Exec-managerial,Husband,50
433,36,189404,13,Married-civ-spouse,Sales,Husband,35
434,53,152810,14,Married-civ-spouse,Exec-managerial,Husband,55
435,51,123011,14,Married-civ-spouse,Prof-specialty,Husband,35
436,28,114158,13,Married-civ-spouse,Prof-specialty,Wife,24
437,47,228660,10,Married-civ-spouse,Craft-repair,Husband,40
438,45,233511,13,Married-civ-spouse,Exec-managerial,Husband,60
439,45,159816,14,Married-civ-spouse,Prof-specialty,Wife,35
440,39,202027,15,Married-civ-spouse,Prof-specialty,Husband,50
441,39,218490,13,Married-civ-spouse,Exec-managerial,Husband,40
